,ID,QUESTION,ANSWER,PUBLICATION DATE,ARCHIVED
,19700,What is the impact on Horizon 2020 and Horizon Europe grants of the restrictive measures adopted by the EU against Russia over its military aggression against Ukraine?,"Since 2014 there have been several waves of restrictions against Russian participation in EU funding which have gradually extended both in target and scope, that have direct implications on the Horizon 2020 (H2020) and Horizon Europe (HE) Programmes.For example, following the adoption of the 14th package of restrictive measures towards Russia (as provided by Article 5l of Council Regulation (EU) No 833/2014 of 31 July 2014 concerning restrictive measures in view of Russia's actions destabilising the situation in Ukraine (OJ L 229, 31.7.2014, p. 1–11), as amended by Council Regulation (EU) 2024/1745 of 24 June 2024 (OJ L, 24.06.2024)), it is prohibited to provide direct or indirect support (as it is the case of EU-funded grants) to:Legal entities established in Russia; andLegal entities established outside Russia whose proprietary rights are directly or indirectly owned for more than 50 % by legal entities established in Russia.In summary, there are three categories of entities targeted by the EU restrictive measures (sanctions) relevant for H2020 and HE grants:Listed entities subject to an asset freeze: Persons or entities that are specifically listed by name in the restrictive measures adopted by the EU.Entities falling under Article 5l of the 14th package of restrictive measures: any legal entity established in Russia and any legal entity established outside Russia whose proprietary rights are directly or indirectly owned for more than 50 % by entities established in Russia.Other listed or non-listed entities: Other entities that fall under one of the sector-specific restrictive measures (e.g. aviation and space industry, dual use technology).In practical terms, the impact of the restrictive measures on H2020 and HE grants is as follows:Grants to be signedEntities falling under any (or several) of the EU restrictive measures or Horizon-specific WP eligibility restrictions are ineligible in Horizon actions and thus cannot participate in grants to be signed under the EU Research and Innovation Programmes. This ban applies not only to their potential participation as beneficiaries, but to their potential participation in any kind of role: beneficiaries, linked third parties/affiliated entities, subcontractors, in-kind contributors, international partners/associated partners, and third parties receiving financial support.What shall I do if in my proposal under evaluation there is a participant subject to the EU restrictive measures?Please note that, during evaluation, experts will focus on the technical evaluation of the project activities as presented in the proposal. However, if your proposal is retained you will be likely requested to remove the concerned participant during the grant agreement preparation phase (GAP).What shall I do if in my proposal under GAP there is a participant covered by the sanctions?During GAP, sanctioned entities should be removed from the proposal. The coordinator will be informed of the need to amend the proposal by either distributing the work of the concerned entity among the other members of the consortium or by introducing a new participant, within the terms of the concerned call.On-going grants (already signed)In on-going grants, the participation of entities subject to the EU restrictive measures must be terminated:If the entity participates as beneficiary, the EU granting authority will initiate the termination of its participation in the grant in line with the corresponding articles of the grant agreement. After the termination of the beneficiary takes effect, following the sending of the confirmation letter, the coordinator will be contacted to redistribute the tasks of the terminated beneficiary and to submit an amendment request.For the removal of other types of participants (linked third parties/affiliated entities and international partners/associated partners), the EU granting authority will request the consortium, via the coordinator, to launch an amendment to remove it from the grant agreement. If the consortium refuses to do so, the grant agreement may be terminated by the EU granting authority.In addition, as the restrictive measures adopted by the EU are directly applicable to all entities receiving EU funds:Each beneficiary must stop using in the EU grant in-kind contributions from entities affected by the restrictive measures.Each beneficiary must take care of the removal of its subcontractors affected by the restrictive measures. No new subcontracts should be signed with entities affected by the restrictive measures.Outstanding paymentsOutstanding payments for entities concerned by the sanctions cannot be carried out and will be withheld by the EU granting authorities until the sanctions are lifted. The coordinator of each particular grant concerned will be informed of the amount withheld, that basically corresponds to the amount to which the beneficiary under sanction is entitled to, based on its accepted eligible costs.Special case: Fellowships and similar allowances granted to natural persons of Russian nationalityFellowships and similar allowances granted to natural persons of Russian nationality may continue if the following cumulative conditions are fulfilled:the fellowship/allowance is either paid directly to the person or via a beneficiary not subject to the restrictive measures explained above;the fellow is not targeted by restrictive measures (i.e. neither listed (subject to an asset freeze), nor falling under the sector-specific restrictive measures); andthe project activity is not contrary to the restrictive measures.Fellowships and similar allowances granted to natural persons of any other nationality can carry out research even if the fellow’s activity takes place in the Russian Federation or Russian-controlled territories, provided that the activity is not carried out in the premises of entities subject to the restrictive measures.The above applies to activities already stated in the description of the action; for new activities it is discouraged to engage in Russia or with Russian beneficiaries.",20/06/2025,FALSE
,59880,"In the frame of Innovative Training Networks (MSCA-ITN) and Doctoral Networks (MSCA-DN) Actions, can “Contracts for Specific Work” issued by Greek beneficiaries (“Συμβάσεις Έργου”) be considered compliant with the MSCA requirements? ","MSCA researchers need to be employed under an employment contract or equivalent direct contract, which confers similar benefits and social security coverage.This includes:-     sickness, parental, unemployment, and invalidity benefits,-     pension rights, and-     benefits for accidents at work and occupational diseases.If national law prohibits this possibility, beneficiaries may exceptionally and subject to the granting authority’s prior agreement offer a fixed-amount fellowship with minimum social security coverage, but the living allowance will be reduced by 50%.""Contracts for Specific Work""/ “Συμβάσεις Έργου” issued by Greek beneficiaries in the frame of an Innovative Training Networks (MSCA-ITN) and Doctoral Networks Action (MSCA-DN) cannot be considered by default compliant with the MSCA requirements. The option of a fixed-term employment contract remains the preferred one. Contracts for Specific Work can only be accepted under the condition that they are accompanied by an Addendum (Annex) which includes the missing information and MSCA requirements laid down in the Specific Rules for carrying out the MSCA Action (Article 18) laid down in Annex 5 to the HE Unit MGA and Article 32.1 of the H2020 MSCA-ITN MGA.The purpose of the Addendum is to complement the main text of the contract and should not contradict the provisions of the main text.The Addendum should address the following points: 1. Clauses incompatible with the MSCA rules should not appear in the contract. These include provisions about the absence/non establishment of an employment/subordinated relationship, the simple possibility for the MSCA researcher to work from the contractor's premises (without this being stipulated as an obligation though), and the absence of a procedure or prior notice for the termination of the contractual relationship.2. Examples of Elements/Clauses which are usually missing and need to be specified in the Addendum: the name of the supervisor(s), the starting date and duration of the research training activities, the monthly support of the researcher under the Grant Agreement, the obligation of the researcher to work exclusively for the action and to not to receive for activities carried out in the frame of the action, other income than those received from the beneficiary, the arrangements related to the intellectual property rights, the duty of confidentiality and other rights and obligations of both the researcher and the beneficiary.Greek beneficiaries are expected to amend the running Contracts for Specific Work in line with these requirements and to implement the above conditions when signing new Contracts for Specific Work in order to establish them in the correct format and content since the very beginning.The Greek NCPs remain the first contact point for any questions.",16/06/2025,FALSE
,16071,What is considered a Communication or Dissemination activity within a scientific funded project?,Talking to the scientific community is dissemination as you are sharing your results to a scientific audience likely to use them. Communication involves the general public and requires you to adapt your message accordingly (by removing the technical details for instance).,28/05/2025,FALSE
,16526,"With regards to the Booster in Horizon Europe: a, What is the maximum number of projects that can form a group to participate? b, What are the specific requirements on the profile of project partners that should participate?","a, There are no limitations in terms of the number of projects that can form a group to participate.A larger group may apply if there is a strong justification explaining why the group needs to exceed 10 projects, such as the involvement of necessary and committed projects.b, The most relevant staff of the participating organisations should be engaged to ensure the group fully benefits from the Booster services.Its important to highlight that a person benefiting from the Booster services should be:Actively involved in the implementation of the project, particularly in dissemination and exploitation activities.Part of the organisation’s decision-making team, capable of following up on the tasks requested by the Booster service.",28/05/2025,FALSE
,19531,Regarding open science requirements in Horizon Europe: a) where are they described? b) what are the consequences of non-compliance?,"a) The legal basis for the open science requirements in Horizon Europe is established in Articles 2.5, 14, and 39 of Regulation (EU) 2021/695 (Horizon Europe Regulation).The specific mandatory open science provisions are outlined in Article 17 of the Model Grant Agreement.For more detailed guidance, the Annotated Model Grant Agreement (AGA) provides additional information on the implementation and expectations for open science in funded projects. b) Violations of the open science provisions are treated the same as other violations of the Model Grant Agreement.Sanctions for non-compliance could include penalties outlined in Article 17.5 and Chapter 5 of the Model Grant Agreement.These sanctions may include the possibility of a grant reduction, as detailed in Article 28 of the Agreement",28/05/2025,FALSE
,348,"As an organisation, is it possible to suggest experts to be included in the database?","Yes, your organisation can suggest experts for inclusion in the database by asking them to register themselves through the Funding & Tenders Portal. This will expand the pool of experts the European Commission can access when needed.",28/05/2025,FALSE
,16469,"Under Horizon Europe, why is there an obligation for the beneficiary to use the Horizon Results Platform one year after the end of the grant?","Under Horizon Europe, the obligation applies for beneficiaries who have not succeeded in exploiting their research results after one year. The European Commission is aware that some exploitation measures may require time in order to become fully tangible/implemented. Using the Horizon Results Platform does not prevent beneficiaries from continuing their activities in results exploitation. The obligation to exploit the results, directly or indirectly, applies to beneficiaries up to 4 years after the end of the project.",28/05/2025,FALSE
,19534,"a, What is required for open access publications and how can authors comply? b, What is the prior obligation and how should authors enter into publishing agreements? c, Which publishing fees are eligible?","a) The beneficiaries must ensure open access to all peer-reviewed scientific publications relating to their results in a trusted repository immediate at publication with a CC BY or equivalent license. This includes articles and long-text formats such as monographs and other types of books. For long-text formats, the license may exclude commercial and/or derivative use). Beneficiaries can publish in any venue of their choice (whether full open access, subscription, hybrid, etc.) but have to comply with the requirements for open access to their peer-reviewed publications, that is to ensure immediate open access via trusted repositories under open licenses.Authors must:ensure deposition of their peer-reviewed scientific publications in a trusted repository;provide immediate open access through the repository (either to the Author Accepted Manuscript or the Version of Record);provide open access under a Creative Commons Attribution International Public License -CC BY- or equivalent for articles. For long-text formats, the license applied may exclude commercial and/or derivative use (CC BY-NC / CC BY-ND / CC BY-NC-ND licenses, or equivalent).b) The obligation of the beneficiary and author to provide open access per the Grant Agreement, precedes any publisher agreement concerning work deriving from the Horizon-funded projects and is therefore a prior obligation.Beneficiaries should inform their authors on existing prior obligation. They and authors should refrain from signing publishing agreements that are contrary to their open access prior obligation as this would be an express breach of their grant agreements and may cast doubt on the good faith of the Horizon Europe beneficiary. When signing a contract with a publisher, it is recommended that authors do not give them exclusive rights of their work but rather a non-exclusive license, as this empowers them to remain in control of their rights and meet Horizon Europe’s open access obligations.Authors should identify publication venues that allow them to meet the Horizon Europe open access requirements. The use of the Journal Checker Tool (https://journalcheckertool.org/) can facilitate this task. Publication in Open Research Europe (https://open-research-europe.ec.europa.eu/) allows compliance with the Horizon Europe requirements.c) Publishing fees are eligible when publishing in full open access publishing venues (journals/books/platforms in which the entire scholarly content is openly accessible to all).Publishing fees for open access books may be eligible to the extent that they cover the first digital open access edition of the book, which could include different formats, such as PDF, ePub, HTML.The following costs are not eligible:costs of publications in hybrid venues, e.g. hybrid journals or books that are not entirely open access (whether committed to transition to a fully open access journal or covered by agreements between institutions and publishers). In case a decision is made to publish in hybrid venues, alternative funds must be found to pay the publishing fees, including open access Article Processing Charges;any printing fees (for monographs / other books­ or articles).Beneficiaries have the possibility to publish at no cost in Open Research Europe, the European Commission open access publishing platform.",28/05/2025,FALSE
,11499,How to request a change in Point of Departure (PoD)?,"Any arrangement to change the point of departure must be explicitly agreed by the Commission/Agency via the means of communication set out in Article 21 of the contract before the travel arrangements are fixed. If there is no prior approval of the change of point of departure, the Commission/Agency may restrict reimbursement to the amount normally applied to the usual journey from the expert's official address.The ‘expert official address’ is stated in the Preamble of the contract, which is by default considered to be the point of departure to the place of the meeting and back (i.e. expert official address or agreed point of departure).Once you have the Commission/Agency agreement you can request a change of Point of Departure (PoD) at the time of contract signature.How to do it:Go to the Dashboard and click Contracts and invitations in the Navigation bar on the left-hand side of the screen.The Contracts page opens and click the relevant contract.If it is the first time you have opened the page for this contract, click the Read Contract button to download a copy of the contract to verify the details. Otherwise, click the download icon to download a PDF copy of the contract.Once the contract has been downloaded for the first time, the signature options will appear.Select Option 2: “I will sign my contract and declare a change of point of departure and/or a conflict of interest”If you require a change of your point of departure, check the A change of point of departure option, type the new city of departure in the Departure Town/city field and select the country by clicking the arrow in the Departure Country field and selecting from the list.Repeat these actions for the Return Town/city and Return Country fields.Enter an explanation for your change of PoD in the Exceptional and duly justified reason... field.Click the Sign the Contract button.For further details, please consult the EU Funding & Tenders Portal - IT How To.",28/05/2025,FALSE
,16068,With regards to Horizon Europe: a)Should Dissemination and Exploitation activities after the project has ended be mentioned at application stage? b)Should Dissemination and Exploitation plans cover both project and post-project activities?,"a, Exploitation Activities after the end of the project at Application Stage:Yes, under Horizon Europe, you should mention how you intend to comply with the dissemination and exploitation (D&E) obligations after the end of the grant during the application stage.However, detailed plans for post-project exploitation should be defined later in the Exploitation and Dissemination plan, which will include the communication activities to be submitted 6 months after the end of the project.b, Dissemination and Exploitation plans including Communication Activities:Under Horizon Europe, if the proposal is successful, the beneficiaries must provide a complete plan for the exploitation and dissemination of the results, including communication activities.This plan should cover:Exploitation activities during the grant period.Provisions for D&amp;E activities that will continue after the grant.",28/05/2025,FALSE
,16079,"When drafting a proposal under Horizon Europe: how detailed should the level of Dissemination, Exploitation and Communication activities be, along with the results in the proposal and the allocated funding?","1. Budget proportionality: The proposed budget should be proportional to the planned Dissemination & Exploitation (D&amp;E) activities. The main D&amp;E activities must be listed in detail and aligned with the corresponding budget allocation.2. Summary of activities: Proposals must include a summary of the communication, dissemination, and exploitation measures that the project intends to carry out to achieve the desired impact.3. Expected results: Clearly outline the expected results by the project's end. This includes target groups who will benefit from the results, the outcomes (i.e., changes brought about by the D&amp;E activities), and their broader scientific or socioeconomic impact.4. Impact and beneficiaries: Detail how the project will contribute to broader scientific or societal goals, specifying target groups and how they will benefit from the project.5. Post-proposal activities: If the proposal is successful, within the first six months of the project, beneficiaries must submit a complete and regularly updated plan for the exploitation, dissemination, and communication of results",28/05/2025,FALSE
,19521,How is open science evaluated at proposal stage in Horizon Europe?,"In Horizon Europe, open science practices are considered in the evaluation of proposals, under the “excellence” and under the “quality and efficiency of implementation” award criteria.There are open science practices that are mandatory for all projects through the Model Grant Agreement (article 17) and/or through specific work programme or call conditions, and there are open science practices that are recommended.Recommended open science practices are incentivised through their evaluation at proposal stage.Proposers should be aware of both mandatory and recommended practices and integrate them into their proposals. A definition for open science practices is provided in the annotated grant agreement and the programme guide.The latter explains the difference between mandatory and recommended practices. Failure to sufficiently address mandatory practices in proposals will result in a lower evaluation score. Certain work programme topics or call conditions may encourage specific additional open science practices. A clear explanation of how proposers will adopt recommended practices, as appropriate for their project, will result in a higher evaluation score. If proposers believe that none of the open science practices (mandatory or recommended) apply to their project, they will have to provide a justification.",28/05/2025,FALSE
,19544,"On Research Data Management: a,How long should data be available after projects finish? b,Are there Data Management Plan (DMP) templates available? c,Are there exceptions for open access to data? d,Can additional budget for data management be requested?","a, It is recommended to keep the data available for at least 5 years, preferably 10 years, or longer based on disciplinary practices for re-use/validation purposes. This aligns with the European Code of Conduct for Research Integrity.b, Yes, a DMP template is available in the reporting templates on the EU Funding & Tenders Portal. The Horizon Europe Programme Guide also provides references for DMP examples across disciplines and points to specialized journals that publish DMPs.c, Yes, data must be open but can remain confidential if necessary under the principle ""as open as possible, as closed as necessary."" Beneficiaries can restrict access to data, especially when commercial exploitation, such as patenting, is planned. Justifications for restrictions must be provided in the DMP. d, No, additional budget cannot be requested after the grant is awarded. Data management costs must be forecast in the project proposal before the grant is awarded.",28/05/2025,FALSE
,11037,Are experts affected by Brexit?,"Experts for evaluation and monitoring reviews are appointed in their personal capacity and selected based on a public call for expression of interest for which there is no nationality requirement. As such, the withdrawal of the United Kingdom has no impact on your participation.",28/05/2025,FALSE
,21380,Where can I find the National Contact Points?,"The National Contact Points (NCP) are programme specific.In the Funding & Tenders Portal, go to Guidance &amp; Documents, then select Helpdesk &amp; Support Services. Select the programme (currently only Horizon Europe and Digital have NCPs).You will see a permanent link to the NCP page.Alternatively, go directly to EU Funding &amp; Tenders Portal for Horizon or EU Funding &amp; Tenders Portal for Digital.",28/05/2025,FALSE
,372,"As an expert, which document do I need to provide to prove my identity?","Only if your profile is selected, you will be invited to enter your identity documents details and upload a supporting document.The supporting document can be one of the following:Identity Card, Special Identity Card, Consular ID Card, Resident Permit, Passport Card, Diplomatic Passport or Service Passport.For further information please consult the EU Funding & Tenders Portal - IT How To.",28/05/2025,FALSE
,21983,"For the two-factor authentication on my account on the Funding & Tenders Portal, do I have to use my private mobile device if my employer does not provide a device for professional use?","If your employer does not provide a mobile device, using a private mobile device is the recommended solution. The mobile device that you have to register in the Commission system (EU Login) will be used exclusively for the purpose of the two-factor authentication. It will not be disclosed to anyone.If the use of a mobile device is not an option at all for you, there are alternatives for providing the second factor (Trusted Platform, special USB security key, eID, etc.)Please refer to the EU Funding & Tenders Portal - IT How To for detailed information on how to use them.",28/05/2025,FALSE
